"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/23/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1393,1063,1825,1631,1284,2072,1480,1219,1796,,,,1330,1065,1659,994,819,1206
"01/24/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1325,1037,1693,1412,1140,1749,1463,1184,1807,1276,1052,1548,1319,1020,1706,1021,785,1328
"01/25/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1201,969,1488,1139,942,1378,1350,1128,1615,1213,1027,1433,1093,889,1345,1064,772,1467
"01/26/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1143,908,1438,1097,792,1519,1164,956,1418,,,,,,,1051,811,1361
"01/27/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1218,943,1573,1421,1081,1869,,,,1173,979,1406,977,799,1194,1110,870,1416
"01/28/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1337,1036,1724,1507,1223,1859,1388,1083,1779,1261,1071,1485,1082,865,1352,998,808,1232
"01/29/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1317,1016,1707,1424,1129,1797,1616,1278,2042,1235,1044,1460,1231,932,1628,939,793,1111
"01/30/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1413,1048,1904,1633,1192,2238,1617,1272,2056,,,,1186,989,1422,942,777,1143
"01/31/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1316,1000,1732,1353,1047,1748,1619,1212,2163,1283,1076,1529,1123,948,1331,904,702,1163
"02/01/2020","28","Brookline, MA","885","Downtown Crossing, Boston, MA",1251,972,1610,1206,904,1608,1360,1105,1675,1320,1051,1659,1126,864,1468,1066,897,1267
